Model,Accuracy,Precision,Recall
Support Vector Machine,0.7277896233120114,0.0,0.0
K-Nearest Neighbors,0.7668798862828714,0.6,0.4308093994778068
Decision Tree,0.7256574271499645,0.4961636828644501,0.5065274151436031
Random Forest,0.7825159914712153,0.6379928315412187,0.46475195822454307
Perceptron,0.767590618336887,0.7592592592592593,0.21409921671018275
